,Positive tweets,Life births rate,Mortality rate,Patients with diabetes mellitus,Patients with chronic alcohol abuse,Patients with tobacco abuse,Patients with obesity,Patients with hypertension,Patients diagnosed with dementia,Patients diagnosed with anxiety disorder,Patients diagnosed with depressive disorder,People with low literacy ratio,Unemployed people ratio,Population density,Gender ratio,Youth people ratio,Elderly people ratio,Average age of buildings,Buildings with repair needs ratio,Walkability index,Altimetry,Beds/customers in tourist accommodations,Density of fast food outlets,Normalized difference vegetation index (NDVI),Noise level,Particulate Matter (PM2.5),Mean temperature,Extreme heat vulnerability,Vulnerability to flash floods index,Nitrogen Dioxide,Distance to green spaces
3128,0.0390484693674,8.5402409366,16.7411345512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.1111111111,61.1111111111,21.0621349468,85.4545454545,21.8954248366,30.3921568627,1970.5,0.0,0.236236142303,104.022187127,4679,0.0106602254018,0.296412427252,61.8561309263,9.28977557476,22.3919142002,0.462282877888,0.192429397165,,0.999999745742
3129,0.0489606580165,8.5402409366,16.7411345512,6.63289378033,1.0384324456,11.2304967084,12.0220328574,23.5033008178,1.5216685329,6.17230552852,9.63158599103,45.9003672909,58.8849126902,251.095367701,66.8918918919,18.3723329611,34.1620097221,1969.48858828,57.9472740394,0.144201274677,96.8159560996,4679,0.0130584719311,0.384936236027,59.2814892614,9.26921808224,22.3822496111,0.462282877888,0.192429397165,,0.782163479316
3130,0.0349163549062,8.5402409366,16.7411345512,6.6673028485,1.06834216498,11.5539659977,12.0843988415,22.8182281537,1.47731503874,6.20432523044,9.68155119624,40.9586994593,56.0433186388,221.190870921,76.2711864407,15.7677277711,33.4389942972,1968.4290707,46.1066716069,-0.434589427661,90.8550518085,4679,0.0142997050338,0.224537302352,49.0279267786,9.23552392198,22.4015336411,0.462282877888,0.192429397165,,0.24782803381
3131,0.273121766829,8.5402409366,16.7411345512,6.77937769226,1.05211601442,11.3784825261,12.2875330238,21.8337715656,1.41357860343,6.30861759523,9.84429441675,44.3903986164,56.2870414211,221.190870921,76.2711864407,16.9865944065,32.1660678984,1960.2902135,25.8298948693,0.301789477552,83.5204745946,4679,0.0141600030386,0.298637653331,51.6549263201,9.19224316683,22.4532530751,0.462282877888,0.192429397165,,0.0
3132,0.61300014477,8.5402409366,16.7411345512,6.53489225865,1.00880331246,10.9100619188,11.8444063866,21.0275587703,1.36138216298,6.0811092341,9.48927855862,42.7068614387,55.7377853016,284.310972954,66.6666666667,20.3123434165,30.9398807891,1966.24911676,28.1259034592,1.17096291974,77.8872539579,4679,0.0127166899799,0.227821114769,53.1836528019,9.14265391402,22.491617873,0.462282877888,0.192429397165,,3.6365601976e-05
3133,0.528955428394,8.5402409366,16.7411345512,6.41708852683,0.985322805504,10.6561236321,11.6308886699,20.5054445399,1.32757904736,5.97148579533,9.3182164535,43.4063916132,55.4733572059,121.084793414,81.8181818182,22.3106672894,30.0319148891,1974.41704655,36.5859176255,-0.105110496468,76.7656394453,4679,0.0102841967353,0.347908678898,55.9718548801,9.08893384203,22.6055341721,0.462282877888,0.192429397165,,0.0381089313293
3134,0.314982782988,8.5402409366,16.7411345512,6.54439780286,1.00012710824,10.816230025,11.8616350606,16.4514002263,1.06510903471,6.08995471316,9.50308150337,37.0719986719,53.527899992,161.08743968,82.0330969267,21.163556027,24.1909451845,1960.99033284,11.9326802691,-0.000155048084098,77.0892939371,4679,0.00752349887689,0.416302237833,54.4966908103,9.03284593984,22.5234554398,0.462282877888,0.192429397165,,0.0349949236519
3135,0.229989647628,8.5402409366,16.7411345512,6.49331123107,1.00093036102,10.8249170877,11.7690413202,16.2318676215,1.05089588826,6.04241559375,9.42889899338,38.3405898912,53.0515653671,161.08743968,82.0330969267,21.0970574015,23.8663069157,1960.50705524,10.9677473092,0.0954824066274,79.1459167951,4679,0.00538424291267,0.349227331757,52.7086155475,8.97507527833,22.4926826501,0.462282877888,0.192429397165,,0.00647909037368
3136,0.101265720052,8.5402409366,16.7411345512,6.33088959893,0.957276039347,10.3528019126,11.4746542453,17.8409903769,1.15507493449,5.89127252238,9.193047498,42.5764436095,59.2136585201,161.08743968,82.0330969267,23.0706395917,28.4151637461,1975.62308424,11.8929275418,0.393515922237,89.5465120758,4679,0.00398293881105,0.210871507758,68.0218263966,8.91649494061,22.4389706614,0.462282877888,0.192429397165,,0.191437279873
3137,0.0026224486091,8.5402409366,16.7411345512,6.05887919044,0.89702324818,9.70117669064,10.9816389526,15.333327112,0.99272189689,5.63815052107,8.79806278596,66.7711851406,64.9210701342,15.8240881469,65.7894736842,29.0993817043,22.8246695843,1988.83363799,29.0689100628,0.316500215901,103.149845917,4679,0.00260035140781,0.257484576067,67.5357167478,8.85783537156,22.5412633968,0.462282877888,0.192429397165,,0.520423415119
3138,0.0,8.5402409366,16.7411345512,6.26231760444,0.982821102188,10.6290680726,11.3503684059,23.9367809994,1.54973323569,5.8274621683,9.09347450869,66.9980337473,83.3698659446,15.8240881469,65.7894736842,29.5776072146,41.2679225902,1981.34313615,58.9346866404,-0.362091697761,112.498093147,4679,0.0013575409729,0.382106651008,78.7861184692,8.80044353321,22.3555131708,0.462282877888,0.192429397165,,0.900276592318
3139,0.0,8.5402409366,16.7411345512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.6666666667,91.6666666667,0.518881271047,84.6153846154,79.1666666667,4.16666666667,1969.66666667,100.0,0.20191717402,122.185547625,4679,0.000467295594576,0.785457949497,71.3276398112,8.7452815817,21.9025097957,0.462282877888,0.192429397165,,1.0
3140,0.0,8.5402409366,16.7411345512,1.63031648569,0.276525016474,2.99057805875,2.954927217,2.95330786401,0.191205298332,1.51710728245,2.3673729664,73.7674090236,76.1329496813,1.69916014573,246.428571429,19.7521704815,14.0625117513,1963.82311642,87.9746734619,0.0498887715337,124.936830753,4679,4.05384006824e-05,0.796030810509,68.447490142,8.69328625861,21.6839684505,0.462282877888,0.192429397165,,0.999329587807
3141,0.0,8.5402409366,16.7411345512,7.04760213686,1.08530117777,11.7373752681,12.7736863066,10.2005179666,0.660409673065,6.55821653003,10.2337815529,72.1649484536,74.7422680412,1.69916014573,246.428571429,14.4329896907,14.9484536082,1963.55319149,87.2340425532,-0.537744827871,129.32077652,4679,0.0,0.602137281058,60.8325455539,8.64544647049,21.7830670843,0.462282877888,0.192429397165,,0.982707695217
3142,0.0,8.5402409366,16.7411345512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.2086341772,74.7819087904,0.0102076549054,0.0,14.4103378341,15.0819377636,1963.59797417,87.3163384457,-0.325936421841,135.97796695,4679,0.0,0.787528475103,66.1279003245,8.60285399916,21.5780582162,0.462282877888,0.192429397165,,0.999285245805
