,Time,GPS_Data,GPS_Time,Sound Pressure,Humidity,PM1.0,PM2.5,PM10,Solar Light,Air Temperature,North_Wind,East_Wind,Gust_Wind,TGlobe,Latitude,Longitude,Wind Speed,MRT,MRT_S,UTCI
432,2023-06-19 15:28:22,60180.0,53625469.0,755.14,50.8764705882353,3.0,5.0,7.0,0.0,24.5,-1.0199999809265137,-1.9399999380111694,2.205000162124634,24.5,51.514846367,-0.065246243,2.1918028471040523,24.5,24.5,22.8
433,2023-06-19 15:28:23,60180.0,53626469.0,770.7878787878788,50.896800000000006,3.0,4.81,6.81,0.0,24.700000762939453,-2.0950000286102295,-0.6700000166893005,2.25,24.700000762939453,51.514846657,-0.065229593,2.1995283908693986,24.700000762939453,24.700000762939453,23.0
434,2023-06-19 15:28:24,60180.0,53627368.0,757.4747474747475,50.9,3.0,4.0,6.0,0.0,24.799999237060547,-2.569999933242798,-0.4000000059604645,2.5999999046325684,24.799999237060547,51.514847157,-0.065212584,2.6009420719493845,24.799999237060547,24.799999237060547,22.7
435,2023-06-19 15:28:25,60180.0,53628368.0,773.5555555555555,50.9,3.0,4.0,6.0,0.0,24.700000762939453,-2.18999981880188,0.4449999928474426,2.259999990463257,24.700000762939453,51.5148491,-0.065191605,2.234753722446053,24.700000762939453,24.700000762939453,23.0
436,2023-06-19 15:28:26,60180.0,53629368.0,753.61,50.9,3.0,4.0,6.0,0.0,24.75,-1.5850000381469727,0.8300000429153442,1.790000081062317,24.75,51.514850578,-0.065172424,1.7891688551294922,24.75,24.75,23.7
437,2023-06-19 15:28:27,60180.0,53630368.0,756.2525252525253,50.9,2.34,3.34,6.0,0.0,24.950000762939453,-2.075000047683716,0.08499999344348907,2.0799999237060547,24.950000762939453,51.514852861,-0.065152081,2.0767402814923237,24.950000762939453,24.950000762939453,23.5
438,2023-06-19 15:28:28,60180.0,53631368.0,768.10101010101,50.88257425742574,2.0,3.0,6.0,0.0,25.049999237060547,-1.8600000143051147,-0.030000001192092896,1.934999942779541,25.049999237060547,51.51485545,-0.065128542,1.8602419340737786,25.049999237060547,25.049999237060547,23.8
439,2023-06-19 15:28:29,60180.0,53632368.0,775.6363636363636,50.8624,2.9,3.9,5.1,0.0,25.200000762939453,-1.3200000524520874,-0.6700000166893005,1.4800000190734863,25.200000762939453,51.514859013,-0.065105181,1.4803040771534666,25.200000762939453,25.200000762939453,24.5
440,2023-06-19 15:28:30,60180.0,53633368.0,780.08,50.84237623762377,3.0,4.0,5.0,0.0,25.100000381469727,-1.9849998950958252,-0.5149999856948853,2.049999952316284,25.100000381469727,51.514860044,-0.06508618,2.0507192808368893,25.100000381469727,25.100000381469727,23.7
441,2023-06-19 15:28:31,60180.0,53634368.0,773.6530612244898,50.82222222222222,3.0,4.0,5.0,0.0,25.0,-1.7699999809265137,0.05999999865889549,1.7699999809265137,25.0,51.514862631,-0.065064502,1.7710166380694807,25.0,25.0,24.0
