,Chroni obstructive pulmonary disease,Area deprivation index,Gender ratio,National walkability index,Per capita income,Crude percent of adults with depression,Percentage of people with disability,Life expectancy at birth,Number of people travel by bicycle to work,Number of people with disability - Aged 5 and above,Average travel time to work,Coronary heart disease,Current ashthma,Diabetes,High blood pressure,No leisure time physical activity,Obesity,Physical health not good for people aged above 18,Stroke
71,,7.0,70.0,11.0,40599.0,,,,,,,,,,,,,,
72,,8.0,92.0,9.83,34228.0,,,,,,,,,,,,,,
73,,2.0,108.0,10.0,50376.0,,,,,,,,,,,,,,
74,,9.0,139.0,12.33,17249.0,,,,,,,,,,,,,,
75,,7.0,65.0,12.67,20461.0,,,,,,,,,,,,,,
76,,5.0,101.0,17.0,32269.0,,,,,,,,,,,,,,
77,,8.0,87.0,17.0,18473.0,,,,,,,,,,,,,,
78,,9.0,105.0,10.0,23009.0,,,,,,,,,,,,,,
79,,7.0,73.0,16.67,23939.0,,,,,,,,,,,,,,
80,,7.0,68.0,13.5,29300.0,,,,,,,,,,,,,,
81,,9.0,111.0,11.33,26730.0,,,,,,,,,,,,,,
82,,9.0,111.0,10.5,26730.0,,,,,,,,,,,,,,
83,,8.0,64.0,12.67,19671.0,,,,,,,,,,,,,,
84,,10.0,90.0,12.5,19031.0,,,,,,,,,,,,,,
85,,9.0,74.0,11.83,15877.0,,,,,,,,,,,,,,
86,,6.0,82.0,11.0,26059.0,,,,,,,,,,,,,,
87,,5.0,75.0,13.17,31976.0,,,,,,,,,,,,,,
88,,8.0,124.0,6.17,21211.0,,,,,,,,,,,,,,
89,,9.0,70.0,9.33,18059.0,,,,,,,,,,,,,,
90,,8.0,81.0,9.33,29343.0,,,,,,,,,,,,,,
91,,9.0,117.0,12.0,21201.0,,,,,,,,,,,,,,
92,,9.0,88.0,10.5,14636.0,,,,,,,,,,,,,,
93,,2.0,81.0,17.0,53500.0,,,,,,,,,,,,,,
94,,4.0,60.0,17.0,46037.0,,,,,,,,,,,,,,
95,,4.0,60.0,15.33,46037.0,,,,,,,,,,,,,,
96,,8.0,76.0,14.17,27144.0,,,,,,,,,,,,,,
97,,9.0,84.0,13.83,25692.0,,,,,,,,,,,,,,
98,,5.0,116.0,14.17,10471.0,,,,,,,,,,,,,,
99,,5.0,116.0,16.0,10471.0,,,,,,,,,,,,,,
100,,7.0,82.0,12.83,36068.0,,,,,,,,,,,,,,
101,,10.0,72.0,10.67,14554.0,,,,,,,,,,,,,,
102,,6.0,103.0,10.67,51020.0,,,,,,,,,,,,,,
103,,8.0,76.0,8.5,27494.0,,,,,,,,,,,,,,
104,,9.0,58.0,11.17,30872.0,,,,,,,,,,,,,,
105,,8.0,62.0,14.33,33746.0,,,,,,,,,,,,,,
106,,9.0,201.0,11.67,19017.0,,,,,,,,,,,,,,
107,,7.0,41.0,13.83,22590.0,,,,,,,,,,,,,,
108,,8.0,110.0,15.5,28185.0,,,,,,,,,,,,,,
109,,9.0,55.0,10.17,15445.0,,,,,,,,,,,,,,
110,,7.0,123.0,12.67,25474.0,,,,,,,,,,,,,,
111,,7.0,205.0,14.33,44745.0,,,,,,,,,,,,,,
112,,6.0,70.0,10.0,43146.0,,,,,,,,,,,,,,
113,,9.0,122.0,16.0,22356.0,,,,,,,,,,,,,,
114,,5.0,88.0,9.67,43665.0,,,,,,,,,,,,,,
115,,7.0,135.0,16.33,25812.0,,,,,,,,,,,,,,
116,,9.0,111.0,12.17,24154.0,,,,,,,,,,,,,,
117,,6.0,93.0,13.0,37387.0,,,,,,,,,,,,,,
118,,6.0,72.0,13.0,75238.0,,,,,,,,,,,,,,
119,,1.0,93.0,13.0,69904.0,,,,,,,,,,,,,,
120,,6.0,169.0,13.0,32701.0,,,,,,,,,,,,,,
121,,9.0,122.0,12.83,25766.0,,,,,,,,,,,,,,
122,,8.0,102.0,13.67,25334.0,,,,,,,,,,,,,,
123,,5.0,78.0,11.17,25445.0,,,,,,,,,,,,,,
124,,10.0,156.0,11.17,25581.0,,,,,,,,,,,,,,
125,,10.0,156.0,12.67,25581.0,,,,,,,,,,,,,,
126,,10.0,156.0,6.33,25581.0,,,,,,,,,,,,,,
127,,10.0,156.0,10.0,25581.0,,,,,,,,,,,,,,
128,,9.0,82.0,12.0,16891.0,,,,,,,,,,,,,,
129,,9.0,79.0,15.83,12229.0,,,,,,,,,,,,,,
130,,8.0,124.0,11.5,35833.0,,,,,,,,,,,,,,
131,,6.0,79.0,11.5,31921.0,,,,,,,,,,,,,,
132,,5.0,104.0,10.5,50081.0,,,,,,,,,,,,,,
133,,3.0,86.0,10.5,33849.0,,,,,,,,,,,,,,
134,,2.0,98.0,10.5,44408.0,,,,,,,,,,,,,,
135,,8.0,106.0,10.5,22272.0,,,,,,,,,,,,,,
136,,6.0,111.0,10.5,27828.0,,,,,,,,,,,,,,
137,,3.0,136.0,10.5,38879.0,,,,,,,,,,,,,,
138,,8.0,96.0,10.5,29312.0,,,,,,,,,,,,,,
139,,9.0,150.0,10.5,14678.0,,,,,,,,,,,,,,
140,,7.0,65.0,8.17,37797.0,,,,,,,,,,,,,,
141,,7.0,65.0,13.5,37797.0,,,,,,,,,,,,,,
142,,,104.0,13.5,5860.0,,,,,,,,,,,,,,
143,,,104.0,,5860.0,,,,,,,,,,,,,,
144,,,104.0,,5860.0,,,,,,,,,,,,,,
145,,,104.0,,5860.0,,,,,,,,,,,,,,
146,,,104.0,,5860.0,,,,,,,,,,,,,,
147,,,104.0,,5860.0,,,,,,,,,,,,,,
148,,,104.0,,5860.0,,,,,,,,,,,,,,
149,,,104.0,,5860.0,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,
151,,,48.0,,37774.0,,,,,,,,,,,,,,
152,,,48.0,,37774.0,,,,,,,,,,,,,,
