,Normalized difference vegetation index (NDVI),Annual mean PM2.5,Annual mean PM10,Annual mean NO2 concentrations,Annual average noise levels of rail noise,Major summer heat spots,Cycling routes density,Land use diversity,Proportion of population with access to public open space,Prevalence rates of cardiovascular diseases,Prevalence rates of obesity,Prevalence rates of depression,Prevalence rates of mental health issues,Prevalence rates of dementia,Population density,Gender ratio,The ratio of elder people,The ratio of active people,The number of recorded crimes
2583,0.20844999700784683,11.175490076628359,5.833597877394638,29.19103597701148,60.45173603928817,35.53457527160644,596.2899780273438,2.1428565979003906,0.77,0.8197585955262184,9.955160784721375,6.084520983695984,1.0901765555143357,0.2768586091697216,13252.975,116.83250160217285,0.06857499815523624,0.6259999871253967,18.5
2584,0.2695234621885633,11.0851935925926,5.370166362962964,29.082127888888888,0.69,35.26870717757787,596.2899780273438,2.1428565979003906,0.69,0.9147008329629898,9.88156681060791,6.459762120246888,1.2275843396782875,0.33315075840801,17223.425,100.23000144958496,0.08285000110045075,0.6259999871253967,9.225
2585,0.29420000314712524,10.985332911877391,5.054651214559385,28.618296130268195,0.69,34.47415351867676,0.69,0.69,0.69,0.7822940051555634,9.009622311592102,6.694595742225647,1.4084789216518403,0.3545586183667183,14599.1,91.13500099182129,0.07709999866783619,0.69,17.55
2586,0.47130000591278076,10.352435444444435,3.6615202,25.185914481481483,0.54,32.10151346992044,294.5610046386719,1.897288203239441,0.54,0.749910827387463,7.497986110773954,7.873541496016762,0.9911417757922952,0.5931535999883305,5316.522727272727,91.35454541986638,0.19411362978545102,0.8069999814033508,11.068181818181818
2587,0.48874999582767487,10.397172769230764,3.7469746038461524,25.31702511538461,0.38,31.856965151700106,294.5610046386719,1.897288203239441,0.38,0.8725627064704895,9.296499490737915,8.219635248184204,1.0457793772220612,0.5239267796278,6321.0,105.45000076293945,0.11924999952316284,0.8069999814033508,1.0
2588,0.5720000267028809,10.244543296296298,3.213144237037038,24.21210314814814,0.38,32.73980422453447,294.5610046386719,1.897288203239441,0.38,0.9196494086222216,9.7339984070171,8.223173770037564,1.011963058601726,0.4931541098789735,8395.227272727272,97.70681814713912,0.11368181928992271,0.8069999814033508,16.15909090909091
2589,0.49754999577999115,10.421504615384618,3.6615923653846147,25.20034157692307,0.46,33.101663242686875,294.5610046386719,1.897288203239441,0.46,0.9852769618684595,10.150280714035034,8.344916278665716,0.9342301921410994,0.45452832227403467,7970.590909090909,86.1068189794367,0.10286363722248511,0.8069999814033508,23.34090909090909
2590,0.6136999726295471,10.257302666666671,3.218553003703702,24.168923185185186,0.38,31.429901599884033,294.5610046386719,1.897288203239441,0.38,1.0207380218939348,10.262399304996837,8.445688551122492,0.9345185472206636,0.4550592384555123,6429.318181818182,87.5659105127508,0.10488636402243917,0.8069999814033508,21.068181818181817
2591,0.44404999911785126,10.30693034615385,3.345236553846153,24.6103966153846,0.46,32.02941504391757,294.5610046386719,1.897288203239441,0.46,1.041574621742422,10.037303512746638,8.216378298672764,1.0975619540973143,0.5333118357441642,7276.363636363636,93.74545600197531,0.10672727565873753,0.8069999814033508,30.65909090909091
2592,0.4025999903678894,10.318763925925927,3.393762281481484,24.737946222222224,0.46,32.3472733931108,294.5610046386719,1.897288203239441,0.46,1.0140189961953596,9.955474723469127,8.362771424380215,1.1729236245155334,0.5689027919010683,10088.227272727272,88.45227380232377,0.09252272986552933,0.8069999814033508,31.65909090909091
2593,0.4341000020503998,10.376688307692305,3.542504376923076,25.252140461538453,0.46,32.12322391163219,294.5610046386719,1.897288203239441,0.46,0.8492295051162894,9.7960316918113,9.531079877506603,1.3163132884285667,0.6796271177855405,9482.90909090909,101.2977249839089,0.09572727131572636,0.8069999814033508,13.431818181818182
2594,0.43549999594688416,10.485455518518517,3.800810711111109,26.180806222222223,0.46,33.184892654418945,294.5610046386719,1.897288203239441,0.46,0.8500029471787539,9.927978038787842,9.660553672096945,1.3493890274654736,0.7198139510371468,8258.954545454546,99.81363747336648,0.09254545244303616,0.8069999814033508,18.09090909090909
2595,0.4034999907016754,11.010179730769229,5.871015034615386,29.756083769230777,60.55555555555556,33.0821478583596,294.5610046386719,1.897288203239441,0.62,0.843075074932792,9.58967568657615,9.385960167104548,1.396493987603621,0.748137039217082,8942.954545454546,96.80227349021219,0.09697727317159827,0.8069999814033508,10.318181818181818
2596,0.3684000074863434,10.424875629629618,3.6606484962962957,25.800107629629615,60.25,33.15415685827082,294.5610046386719,1.897288203239441,0.46,0.7293654382228851,7.246899962425232,8.583953380584717,1.201889842748642,0.6868015378713608,6064.5,100.37500190734863,0.12875000573694706,0.8069999814033508,7.0
